classId,id,name,type,contains,active,image,description
20,lemon,Lemon,basic,soy|milk,True,/chocolates/lemon.png,"Bright, tart lemon blended into smooth white chocolate ganache."
22,caramel_apple_cider,Caramel Apple Cider,seasonal,soy|milk,True,/chocolates/caramel_apple_cider.png,Spiced apple cider blended into a creamy caramel.
23,creamsicle,Creamsicle,seasonal,soy|milk,False,/chocolates/creamsicle.png,White ganache with orange citrus and vanilla.
24,maple_cream,Maple Cream,seasonal,soy|milk,True,/chocolates/maple_cream.png,Barrel aged maple syrup whipped into a soft caramel cream.
25,mint,Mint,seasonal,soy|milk,False,/chocolates/mint.png,Layered dark and white ganache with organic peppermint oil.
26,peach_cobbler,Peach Cobbler,seasonal,soy|milk|wheat,True,/chocolates/peach_cobbler.png,Peach and vanilla bean ganache over a cinnamon streusel crunch.
27,pumpkin_spice_latte,Pumpkin Spice Latte,seasonal,soy|milk|alcohol,True,/chocolates/pumpkin_spice_latte.png,Spiced pumpkin and espresso ganache with a touch of bourbon.
28,smores,S'mores,seasonal,soy|milk|eggs|wheat,True,/chocolates/smores.png,Marshmallow cream layered with housemade graham cracker.
29,strawberry_shortcake,Strawberry Shortcake,seasonal,soy|milk|wheat|alcohol,False,/chocolates/strawberry_shortcake.png,Strawberry ganache with strawberry fruit paste and a lemon cookie.
30,shot_bourbon,Bourbon,cocoashot,soy|alcohol,True,/chocolates/shot_bourbon.png,Dark chocolate truffle with double oaked bourbon.
31,shot_old_fashioned,Old Fashioned,cocoashot,soy|milk|alcohol,True,/chocolates/shot_old_fashioned.png,Whiskey and bitters in a single bite.
32,shot_tequila,Tequila,cocoashot,soy|alcohol,True,/chocolates/shot_tequila.png,Blanco tequila topped with salt and lime zest.
33,shot_whiskey,Whiskey,cocoashot,soy|alcohol,True,/chocolates/shot_whiskey.png,Dark chocolate truffle with oaky Irish and American whiskey.
34,shot_amaretto,Amaretto Shot,cocoashot,soy|milk|alcohol,True,/chocolates/shot_amaretto.png,Milk chocolate truffle with almond liqueur.
35,shot_chocolate_cake,Chocolate Cake,cocoashot,soy|nuts|alcohol,True,/chocolates/shot_chocolate_cake.png,Dark chocolate with hazelnut liqueur and vanilla vodka.
36,shot_candy_cane_bark,Candy Cane Bark,cocoashot,soy|milk|alcohol,False,/chocolates/shot_candy_cane_bark.png,"Peppermint schnapps and chocolate liqueur, holiday only."
37,shot_caramel_apple_pie,Caramel Apple Pie,cocoashot,soy|milk|alcohol,False,/chocolates/shot_caramel_apple_pie.png,"Tequila with apple cider and caramel, holiday only."
38,shot_snickerdoodle,Snickerdoodle,cocoashot,soy|milk|alcohol,False,/chocolates/shot_snickerdoodle.png,"Cinnamon whiskey with cream liqueur, holiday only."
-1,other,Other / Unknown,other,,True,,Catch-all tile so a sale is never blocked by a missing flavor. Exclude from model training.
